group_id,variant,image_path,prompt,elapsed_s,cost_usd,success,error
0,V1_source,data/stimuli_gpt_diverse_pilot/group_00/V1_source.png,"Photorealistic high-resolution DSLR portrait photograph of a young adult East Asian female adult with shoulder-length straight dark hair, fair complexion with natural skin texture. head turned approximately 5 degrees right from frontal, eyes meeting the camera. The face is well-visible, occupying approximately 60% of the frame, showing head and shoulders only. Neutral facial expression with mouth closed and eyes open.

Setting: outdoor in a soft-lit city park during golden hour, blurred trees behind.
Lighting: warm directional sunlight from upper-left, creating subtle warm shadow on the right cheek and under the jaw.

IMPORTANT: Generate a fully synthetic, non-identifiable face. Do NOT reproduce the likeness of any real person, public figure, or celebrity. The face must look natural, not airbrushed.",0.0,0.0,True,(cached)
0,V2_thatcher,data/stimuli_gpt_diverse_pilot/group_00/V2_thatcher.png,"Edit this exact photograph to apply the Thatcher illusion transform: rotate BOTH eye regions (including eyebrows and lashes) 180 degrees in place, AND rotate the mouth region 180 degrees in place. The eyes appear upside-down (eyebrows below the eyes, lower lashes above). The mouth appears upside-down (the chin-side lip ends up on top, the nose-side lip ends up on the bottom). Keep the rest of the face IDENTICAL: same forehead, nose bridge, nose tip, cheeks, jaw, chin shape, hair, skin tone, lighting, background, and overall head orientation. Photorealistic, seamless integration of the rotated regions, no visible cut lines or rectangular boundaries.",0.0,0.0,True,(cached)
0,V3_composite,data/stimuli_gpt_diverse_pilot/group_00/V3_composite.png,"Edit this exact photograph: keep the TOP HALF of the face (forehead, both eyes, both eyebrows, nose bridge down to the nose tip) IDENTICAL to the input — same person above the nose. REPLACE the BOTTOM HALF of the face (lower nose, mouth, chin, jaw line) with the corresponding lower-face features of a DIFFERENT but plausible person of the SAME approximate age, gender, ethnicity, and lighting. Blend seamlessly across the nose tip line — no visible seam. Match the skin tone, lighting direction, and natural texture between halves. Keep the hair, background, and shoulders unchanged. Photorealistic, no visible cut line.",55.7480237740092,0.167,True,
0,V4_partwhole,data/stimuli_gpt_diverse_pilot/group_00/V4_partwhole.png,"Edit this exact photograph: keep EVERYTHING IDENTICAL — same forehead, nose, mouth, chin, jaw, hair, skin tone, lighting, background — EXCEPT replace just the eye region (both eyes and both eyebrows) with the eyes and eyebrows of a DIFFERENT but plausible person of the same approximate age, gender, ethnicity. The new eyes should have different shape, color, and expression. Blend seamlessly into the surrounding skin — no visible patch boundary. Match the skin tone, lighting direction, and natural texture. Photorealistic.",50.1099276621826,0.167,True,
1,V1_source,data/stimuli_gpt_diverse_pilot/group_01/V1_source.png,"Photorealistic high-resolution DSLR portrait photograph of a middle-aged Black male adult with short closely-cropped hair with a trimmed beard, deep brown complexion with visible skin pores. head turned approximately 8 degrees left, gaze directly at camera. The face is well-visible, occupying approximately 60% of the frame, showing head and shoulders only. Neutral facial expression with mouth closed and eyes open.

Setting: indoor at a warmly-lit coffee shop, soft bokeh of lights behind.
Lighting: warm ambient indoor light from a window on the right, creating soft natural shadow under the eyes and on the left side of the nose.

IMPORTANT: Generate a fully synthetic, non-identifiable face. Do NOT reproduce the likeness of any real person, public figure, or celebrity. The face must look natural, not airbrushed.",0.0,0.0,True,(cached)
1,V2_thatcher,data/stimuli_gpt_diverse_pilot/group_01/V2_thatcher.png,"Edit this exact photograph to apply the Thatcher illusion transform: rotate BOTH eye regions (including eyebrows and lashes) 180 degrees in place, AND rotate the mouth region 180 degrees in place. The eyes appear upside-down (eyebrows below the eyes, lower lashes above). The mouth appears upside-down (the chin-side lip ends up on top, the nose-side lip ends up on the bottom). Keep the rest of the face IDENTICAL: same forehead, nose bridge, nose tip, cheeks, jaw, chin shape, hair, skin tone, lighting, background, and overall head orientation. Photorealistic, seamless integration of the rotated regions, no visible cut lines or rectangular boundaries.",0.0,0.0,True,(cached)
1,V3_composite,data/stimuli_gpt_diverse_pilot/group_01/V3_composite.png,"Edit this exact photograph: keep the TOP HALF of the face (forehead, both eyes, both eyebrows, nose bridge down to the nose tip) IDENTICAL to the input — same person above the nose. REPLACE the BOTTOM HALF of the face (lower nose, mouth, chin, jaw line) with the corresponding lower-face features of a DIFFERENT but plausible person of the SAME approximate age, gender, ethnicity, and lighting. Blend seamlessly across the nose tip line — no visible seam. Match the skin tone, lighting direction, and natural texture between halves. Keep the hair, background, and shoulders unchanged. Photorealistic, no visible cut line.",0.0,0.0,True,(cached)
1,V4_partwhole,data/stimuli_gpt_diverse_pilot/group_01/V4_partwhole.png,"Edit this exact photograph: keep EVERYTHING IDENTICAL — same forehead, nose, mouth, chin, jaw, hair, skin tone, lighting, background — EXCEPT replace just the eye region (both eyes and both eyebrows) with the eyes and eyebrows of a DIFFERENT but plausible person of the same approximate age, gender, ethnicity. The new eyes should have different shape, color, and expression. Blend seamlessly into the surrounding skin — no visible patch boundary. Match the skin tone, lighting direction, and natural texture. Photorealistic.",47.02474542893469,0.167,True,
2,V1_source,data/stimuli_gpt_diverse_pilot/group_02/V1_source.png,"Photorealistic high-resolution DSLR portrait photograph of a young adult White male adult with medium-length wavy light-brown hair, slightly tousled, fair complexion with slight freckles and natural skin texture. near-frontal, head tilted slightly down with eyes lifted to camera. The face is well-visible, occupying approximately 60% of the frame, showing head and shoulders only. Neutral facial expression with mouth closed and eyes open.

Setting: office with daylight pouring through a large window, blurred desk behind.
Lighting: cool natural daylight from the front-left, soft and even, creating very faint shadow on the right neck and lower jaw.

IMPORTANT: Generate a fully synthetic, non-identifiable face. Do NOT reproduce the likeness of any real person, public figure, or celebrity. The face must look natural, not airbrushed.",0.0,0.0,True,(cached)
2,V2_thatcher,data/stimuli_gpt_diverse_pilot/group_02/V2_thatcher.png,"Edit this exact photograph to apply the Thatcher illusion transform: rotate BOTH eye regions (including eyebrows and lashes) 180 degrees in place, AND rotate the mouth region 180 degrees in place. The eyes appear upside-down (eyebrows below the eyes, lower lashes above). The mouth appears upside-down (the chin-side lip ends up on top, the nose-side lip ends up on the bottom). Keep the rest of the face IDENTICAL: same forehead, nose bridge, nose tip, cheeks, jaw, chin shape, hair, skin tone, lighting, background, and overall head orientation. Photorealistic, seamless integration of the rotated regions, no visible cut lines or rectangular boundaries.",0.0,0.0,True,(cached)
